road_id,rainfall_mm,flood_level,elevation_m,road_type,historical_blockages,traffic_density,disaster_intensity,distance_to_waterbody_km,road_condition,blockage_probability,blocked
R06167,122.22,0.6201,667.73,Rural Road,2,1928.9,0.9257,0.8,0.4829,0.9047,1
R06168,295.97,0.4362,634.19,Main Road,3,955.6,0.291,5.85,0.9632,0.2739,0
R06169,16.78,0.4098,665.62,Rural Road,9,1547.8,0.4364,0.27,0.8083,0.6987,1
R06170,42.65,0.1638,512.33,Highway,5,565.6,0.3503,6.35,0.8382,0.2336,0
R06171,15.85,0.3094,570.73,Local Road,2,1701.5,0.0862,1.18,0.9007,0.3276,1
R06172,187.75,0.4061,726.11,Local Road,3,991.2,0.1859,2.45,0.525,0.3958,1
R06173,16.35,0.3476,106.52,Main Road,12,211.6,0.1895,1.73,0.4691,0.4084,0
R06174,250.93,0.731,71.02,Bridge,0,362.3,0.6936,3.01,0.8307,0.9877,1
R06175,153.58,0.4533,104.44,Main Road,6,240.6,0.4066,5.61,0.5577,0.6769,0
R06176,158.1,0.3929,696.71,Local Road,6,184.9,0.782,15.94,0.6163,0.6174,0
R06177,168.48,0.6543,452.53,Local Road,1,557.4,0.709,1.33,0.6664,0.7872,0
R06178,51.24,0.3904,144.97,Bridge,4,131,0.192,2.87,0.9853,0.4139,1
R06179,59.31,0.4012,117.66,Local Road,5,1342,0.5629,2.25,0.7147,0.7206,1
R06180,95.65,0.382,359.11,Highway,6,420.1,0.7429,20,0.6473,0.4394,1
R06181,178.05,0.4308,653.51,Local Road,7,1654.3,0.633,5.84,0.5691,0.784,0
R06182,63.04,0.4557,645.12,Rural Road,0,116.6,0.6,1.82,0.825,0.3655,1
R06183,34.9,0.2909,681.75,Rural Road,1,1986.4,0.7396,2.32,0.8151,0.5037,1
R06184,291.04,0.5613,616.31,Highway,15,943.4,0.0568,1.04,0.7755,0.8953,1
R06185,6.59,0.3391,53.99,Local Road,2,1471.3,0.7314,4.98,0.8352,0.6706,1
R06186,240.81,0.4807,577.53,Highway,1,144.7,0.2727,6.58,0.8157,0.2978,1
R06187,236.41,0.4544,417.57,Highway,7,539,0.5719,11.78,0.6671,0.6645,0
R06188,89.16,0.3024,582.5,Bridge,6,27.5,0.2423,2.97,0.8213,0.3689,0
R06189,40.69,0.3419,390,Rural Road,9,1911.8,0.8388,3.94,0.7804,0.9229,1
R06190,43.69,0.4111,389.41,Highway,0,932.4,0.4806,2.12,0.9169,0.4876,0
R06191,209.23,0.6331,105.28,Main Road,11,161.8,0.6429,3.34,0.692,0.936,1
R06192,192.84,0.5566,724.65,Rural Road,11,1332.9,0.7941,1.55,0.9147,0.8616,1
R06193,234.82,0.5587,302.82,Rural Road,3,453.8,0.8953,4.73,0.84,0.9192,1
R06194,281.24,0.8658,467.99,Highway,6,1225,0.7321,0.13,0.8194,0.9801,1
R06195,207.58,0.6944,169.69,Highway,4,199,0.1488,0.15,0.5759,0.7496,1
R06196,46.76,0.3565,298.27,Highway,20,411.9,0.8545,4.46,0.3294,0.9318,1
R06197,73.03,0.2809,697.11,Local Road,4,1259,0.6186,9.39,0.5777,0.3783,1
R06198,252.66,0.6565,171.63,Local Road,0,1702.9,0.6094,3.55,0.8118,0.9437,1
R06199,62.79,0.5037,168.85,Main Road,0,4.6,0.9213,4.59,0.6547,0.4198,1
R06200,21.76,0.2618,212.1,Local Road,1,207.9,0.2488,6.13,0.8229,0.2305,1
R06201,210.98,0.5134,461.86,Main Road,4,1081.5,0.2396,1.62,0.6597,0.5592,1
R06202,120.76,0.5354,418.95,Main Road,3,1432.5,0.5132,0.45,0.7383,0.549,0
R06203,276.01,0.7078,144.38,Highway,3,977.4,0.7509,9.52,0.6914,0.9732,1
R06204,195.08,0.3501,555.12,Highway,5,1983.8,0.4472,9.81,0.8305,0.5026,0
R06205,27.13,0.2353,726.49,Local Road,2,940.1,0.6339,2.09,0.7202,0.3274,0
R06206,284.36,0.6996,163.07,Local Road,13,150.4,0.4525,0.91,0.9566,0.9564,1
R06207,77.57,0.1847,540,Main Road,4,906.8,0.6104,7.85,0.4771,0.2713,0
R06208,101.16,0.4794,471.18,Rural Road,9,646.5,0.8223,4.36,0.6623,0.7949,1
R06209,120.68,0.6553,266.51,Local Road,3,1363.8,0.1805,0.08,0.8842,0.6908,0
R06210,15.37,0.4879,496.18,Rural Road,1,1617.8,0.6954,0.45,0.7645,0.4876,1
R06211,148.95,0.3714,171.88,Local Road,0,933.9,0.7874,14.35,0.5013,0.8339,1
R06212,37,0.5022,667.99,Rural Road,0,116.2,0.4471,0.19,0.6578,0.4505,0
R06213,120.29,0.5678,22.66,Rural Road,1,97.7,0.3232,1.21,0.964,0.673,0
R06214,105.21,0.3641,455.82,Local Road,10,644.2,0.0135,2.83,0.3469,0.2837,0
R06215,231.85,0.7948,258.43,Rural Road,0,236.3,0.7971,0.76,0.5348,0.97,1
R06216,240.95,0.5141,705.68,Main Road,2,960.1,0.3279,0.97,0.46,0.2445,1
R06217,46.02,0.409,402,Rural Road,3,1659.6,0.3573,1.57,0.8162,0.3116,0
R06218,109.97,0.3531,642.98,Local Road,0,232.7,0.336,1.15,0.4956,0.2242,0
R06219,112.01,0.2517,739.44,Main Road,5,782,0.4987,5.74,0.5449,0.3313,0
R06220,45.42,0.4761,270.81,Main Road,3,598.9,0.7025,2.48,0.6169,0.6583,0
R06221,239.54,0.709,704.87,Rural Road,4,1056.2,0.7719,1.19,0.6695,0.9261,1
R06222,212.17,0.5112,582.39,Main Road,3,1824.5,0.3926,1.36,0.7415,0.7387,1
R06223,57.11,0.5543,91,Local Road,4,259.8,0.6631,0.19,0.8977,0.9108,1
R06224,110.02,0.6838,87.62,Rural Road,8,507.5,0.7207,0.23,0.9147,0.8759,1
R06225,31.74,0.2924,654.79,Main Road,5,38.2,0.2969,4.48,0.7726,0.1385,0
R06226,188.46,0.5987,377.31,Main Road,1,851.4,0.0966,0.47,0.4234,0.4084,1
R06227,36.41,0.5571,398.64,Local Road,3,1756.5,0.8947,2.31,0.7942,0.8473,1
R06228,295.78,0.5284,713.54,Main Road,1,957.5,0.6771,6.52,0.1828,0.8344,1
R06229,234.2,0.6395,723.52,Bridge,2,591.9,0.6481,1.66,0.8094,0.7209,0
R06230,117.07,0.4365,94.6,Local Road,8,1653.6,0.0589,1.53,0.6862,0.5298,0
R06231,173.57,0.4479,302.05,Local Road,3,1155.2,0.8179,7.27,0.6804,0.6937,1
R06232,273.4,0.4334,716.71,Local Road,6,1723.8,0.5661,7.05,0.8295,0.8251,0
R06233,166.23,0.4396,656.78,Local Road,1,1918.8,0.8479,7.47,0.8355,0.7088,0
R06234,52.35,0.4789,578.2,Main Road,2,114.4,0.9746,3.02,0.9253,0.4652,0
R06235,113.61,0.4506,86.06,Main Road,4,399.6,0.9571,10.7,0.3476,0.8116,0
R06236,252.94,0.6388,498.85,Main Road,6,1892.2,0.8561,6.03,0.8296,0.95,1
R06237,193.26,0.5351,467.57,Highway,0,313.6,0.0109,1.93,0.8055,0.375,0
R06238,195.22,0.6656,137.9,Rural Road,2,972.7,0.8857,3.53,0.4673,0.9515,1
R06239,260.05,0.6205,620.22,Bridge,7,1257.1,0.0751,0.5,0.926,0.7398,1
R06240,268.19,0.6697,253.02,Main Road,5,311.6,0.8512,2.86,0.6315,0.9605,1
R06241,275.94,0.7053,498.4,Bridge,0,159.5,0.2802,1.12,0.9274,0.4902,0
R06242,28.45,0.393,292.66,Local Road,3,401.1,0.6101,1.22,0.9563,0.5986,1
R06243,163.24,0.6084,72.09,Main Road,1,1167.9,0.0381,0.52,0.5433,0.3656,1
R06244,222.15,0.5987,422.21,Local Road,17,1127,0.7712,1.6,0.7719,0.9784,1
R06245,227.08,0.4691,248.78,Highway,8,56.2,0.1117,2.35,0.4011,0.4492,1
R06246,182.01,0.5259,61.69,Main Road,8,1313,0.4107,3.26,0.9584,0.8563,1
R06247,50.04,0.5698,162.81,Main Road,9,1775.5,0.8174,1.32,0.5968,0.9441,1
R06248,239.23,0.5756,496.99,Rural Road,5,1164.2,0.6953,5.55,0.7966,0.8998,1
R06249,216.03,0.5036,85.6,Bridge,5,1318.9,0.006,2.63,0.588,0.7563,1
R06250,25.84,0.311,74.54,Local Road,3,262.3,0.403,3.61,0.888,0.3107,0
R06251,139.14,0.3411,755.5,Main Road,1,111,0.0419,1.19,0.9258,0.1281,1
R06252,52.19,0.4029,90.48,Main Road,3,569.4,0.6735,5.94,0.8259,0.5145,0
R06253,101.24,0.5356,303.97,Main Road,14,523.9,0.9689,3.48,0.923,0.9099,1
R06254,5.42,0.3026,111.06,Local Road,1,1183.5,0.6553,6.99,0.9663,0.4478,1
R06255,120.1,0.4515,751.72,Main Road,2,639.2,0.2244,0.66,0.6465,0.1921,0
R06256,164.96,0.588,387.52,Local Road,2,1303.1,0.3552,1.73,0.9308,0.6324,1
R06257,185.87,0.853,93.34,Local Road,2,1008.4,0.9767,0.47,0.7272,0.9817,1
R06258,199.05,0.4629,616.21,Local Road,6,780.5,0.2241,0.9,0.7799,0.5184,0
R06259,250.89,0.6498,625.73,Local Road,7,1655,0.5615,1.81,0.7217,0.9187,0
R06260,64.64,0.2637,721.45,Local Road,6,497.7,0.4005,7.92,0.7451,0.4197,0
R06261,36.14,0.3176,566,Highway,2,27.2,0.7683,2.9,0.7455,0.3211,1
R06262,255.46,0.8439,48.5,Main Road,7,512.2,0.8674,1.45,0.7754,0.9831,1
R06263,46.98,0.3986,442.5,Main Road,19,746.6,0.3408,4.86,0.6285,0.8012,1
R06264,292.43,0.8779,310.31,Rural Road,1,414.9,0.6604,0.12,0.9044,0.9835,1
R06265,252.76,0.6055,600.12,Main Road,1,888.5,0.549,1.67,0.7121,0.7958,1
R06266,150.26,0.3867,474.79,Main Road,1,683.1,0.2784,3.26,0.77,0.1349,0
R06267,294.43,0.5517,581.53,Rural Road,1,798.4,0.2719,3.11,0.9803,0.7361,1
R06268,29.21,0.2814,148.45,Rural Road,1,714.5,0.5386,3.32,0.5926,0.3198,0
R06269,90.92,0.3592,352.47,Rural Road,10,422.3,0.154,0.88,0.9837,0.3714,1
R06270,191.47,0.6688,348.52,Local Road,8,561.1,0.8108,1.49,0.7166,0.9208,1
R06271,105,0.1501,784.87,Main Road,1,151.1,0.069,9.44,0.7953,0.0414,0
R06272,278.51,0.5186,20.19,Bridge,9,145.8,0.0946,12.82,0.8895,0.8048,1
R06273,19.69,0.297,653.75,Main Road,3,1637,0.3422,1.36,0.9725,0.2004,0
R06274,164.82,0.4351,82.2,Local Road,3,789.8,0.1181,3.67,0.5039,0.5272,1
R06275,177.26,0.696,68.9,Local Road,5,1059.7,0.4757,1.02,0.8573,0.8025,1
R06276,195.82,0.4646,265.9,Local Road,6,897.2,0.3997,1.66,0.8228,0.7168,1
R06277,76.7,0.284,562.11,Highway,7,1970.4,0.7218,5.55,0.5388,0.7385,1
R06278,109.37,0.4774,544.36,Rural Road,1,1648,0.953,2.48,0.5434,0.8303,1
R06279,253.1,0.5297,504.17,Rural Road,9,1960,0.7536,6.68,0.3907,0.9758,1
R06280,58.48,0.1593,620.77,Main Road,1,489.5,0.1794,3.52,0.6366,0.133,0
R06281,248.06,0.64,189.74,Rural Road,9,1141.6,0.9355,3.52,0.7459,0.9939,1
R06282,168.8,0.6486,508.91,Main Road,14,1257.9,0.3921,0.17,0.9224,0.8889,1
R06283,228.66,0.4986,512.24,Main Road,20,1252,0.4742,4.9,0.7798,0.9297,1
R06284,214.08,0.2502,525.2,Local Road,3,798.2,0.4216,13.39,0.6455,0.2825,0
R06285,62.25,0.3164,477.59,Bridge,7,1849.5,0.2805,2.29,0.8838,0.5631,1
R06286,170.64,0.7294,181.11,Local Road,1,1371.3,0.895,0.65,0.7544,0.953,1
R06287,260.32,0.3434,731.87,Local Road,5,505.2,0.3322,13.25,0.8582,0.4563,0
R06288,129.63,0.4668,780.92,Local Road,9,916.9,0.5786,1.25,0.6671,0.6618,0
R06289,289.98,0.6113,552.9,Main Road,4,887.2,0.24,1.89,0.89,0.5979,1
R06290,135.66,0.7074,358.04,Bridge,0,1321,0.7974,0.33,0.9141,0.8289,1
R06291,42.84,0.5393,432.07,Bridge,9,226,0.7742,0.46,0.6034,0.9211,1
R06292,116.83,0.5768,91.16,Rural Road,2,532.5,0.2963,0.9,0.6985,0.69,1
R06293,285.51,0.682,293.9,Main Road,4,195.6,0.6816,2.83,0.9128,0.8296,1
R06294,95.92,0.2627,781.03,Local Road,3,1514.1,0.7039,2.91,0.4704,0.5355,0
R06295,260.43,0.5777,440.44,Local Road,8,992.7,0.5625,3.31,0.5194,0.9048,1
R06296,264.38,0.5403,450.7,Bridge,3,471.3,0.6006,3.12,0.7214,0.8366,1
R06297,105.06,0.3882,763.41,Highway,7,1169.2,0.5745,2.44,0.6597,0.6783,1
R06298,24.98,0.0957,709.65,Main Road,4,1866.2,0.0819,5.72,0.884,0.2335,0
R06299,217.37,0.4553,457.13,Local Road,0,989,0.6703,9.56,0.7319,0.6288,1
R06300,93.45,0.4719,218.85,Rural Road,1,818.9,0.4698,1.15,0.3249,0.808,1
R06301,234.88,0.7197,97.96,Rural Road,3,844.2,0.4385,0.54,0.8078,0.9544,1
R06302,132.8,0.5245,691.6,Bridge,3,632.5,0.86,1.99,0.7407,0.5894,1
R06303,145.58,0.4261,736.47,Main Road,2,1133.7,0.0232,0.14,0.8923,0.142,0
R06304,233.37,0.3884,397.96,Highway,10,230.6,0.2513,7.57,0.8156,0.767,0
R06305,114.71,0.412,80.17,Local Road,1,425,0.1214,1.01,0.2432,0.2104,1
R06306,132.94,0.3477,486.95,Local Road,0,321.6,0.0353,2.84,0.716,0.0877,0
R06307,112.86,0.4696,297.13,Main Road,3,546.7,0.2757,0.48,0.8555,0.3029,0
R06308,110.2,0.5699,130.5,Rural Road,5,1442.7,0.9885,2.87,0.6718,0.913,1
R06309,157.78,0.5691,735.72,Local Road,3,1679.1,0.2702,0.19,0.8829,0.5614,1
R06310,242.64,0.6453,195.36,Main Road,3,1967.4,0.6637,5.18,0.7489,0.9343,1
R06311,108.53,0.1834,570.37,Local Road,1,1956.9,0.1183,10.94,0.4812,0.1182,0
R06312,157.28,0.6128,346.36,Bridge,2,1006.1,0.6018,1.33,0.9493,0.8097,1
R06313,201.22,0.6733,663.2,Main Road,4,1458.7,0.9845,1.1,0.8301,0.9241,1
R06314,80.83,0.2511,562.16,Local Road,2,251.5,0.2918,2.13,0.6502,0.1122,0
R06315,83.26,0.4183,102.91,Main Road,2,775.3,0.8481,3.44,0.4508,0.8283,0
R06316,280.02,0.8862,362.44,Local Road,2,1622.7,0.9976,0.78,0.8539,0.9853,1
R06317,217.06,0.5819,211.53,Rural Road,2,319.2,0.5886,5.74,0.7617,0.8574,1
R06318,173.16,0.4288,572.3,Local Road,2,1284.3,0.3094,0.82,0.6102,0.3428,0
R06319,194.32,0.7413,438.03,Main Road,5,1642.6,0.6735,0.07,0.3181,0.9389,1
R06320,8.79,0.4169,275.44,Main Road,4,1694,0.8448,2.65,0.8706,0.4858,1
R06321,185.43,0.5613,266.92,Highway,20,1506,0.1714,0.48,0.9384,0.9576,1
R06322,152.85,0.4299,96.02,Rural Road,1,274.3,0.4525,4.24,0.8646,0.4757,0
R06323,163.72,0.5528,174.99,Local Road,6,1992.4,0.3192,0.69,0.5026,0.8943,1
R06324,107.83,0.1697,572.21,Local Road,4,999.5,0.2834,6,0.7679,0.1988,0
R06325,24.44,0.3514,489.87,Main Road,4,1131.7,0.8608,2.27,0.5725,0.6664,1
R06326,58,0.392,287.7,Local Road,3,1818.5,0.4217,2.97,0.8786,0.6288,1
R06327,285.22,0.6411,669.71,Main Road,6,212.7,0.3391,0.77,0.9065,0.7855,1
R06328,122.61,0.6234,390.11,Rural Road,1,725.6,0.6035,0.61,0.6594,0.7252,1
R06329,140,0.2301,636.58,Rural Road,3,1194.8,0.2194,3.54,0.8078,0.4635,0
R06330,15.81,0.3283,626.04,Local Road,4,1265.2,0.2299,1.08,0.6166,0.1025,0
R06331,11.27,0.3495,679.16,Local Road,2,379.3,0.5203,1.76,0.6906,0.1274,0
R06332,215.15,0.3649,680.57,Local Road,5,1767.4,0.4093,2.34,0.9264,0.502,0
R06333,161.43,0.4862,544.85,Local Road,1,748.3,0.295,0.96,0.9327,0.4953,0
R06334,152.61,0.2878,600.79,Rural Road,3,1213.2,0.054,5.6,0.722,0.2401,1
R06335,72.94,0.3018,622.64,Highway,12,1375.6,0.5208,9.86,0.5836,0.6029,1
R06336,223.43,0.6313,139.48,Rural Road,0,1343.5,0.8166,2.03,0.4921,0.9858,1
R06337,50.47,0.4204,243.69,Main Road,0,469.1,0.8514,8.78,0.8681,0.5455,1
R06338,56.98,0.2867,87.87,Local Road,0,1245.8,0.2354,7.55,0.876,0.2404,0
R06339,138.21,0.5885,155.55,Main Road,11,1194.9,0.5996,0.69,0.756,0.8728,0
R06340,85.88,0.5967,623.74,Rural Road,7,1284.8,0.8559,0.72,0.7394,0.894,1
R06341,74.24,0.4333,757.95,Rural Road,4,1319.3,0.4087,2.32,0.6072,0.3353,0
R06342,193.57,0.5737,540.54,Main Road,4,869,0.9321,2.66,0.8252,0.8834,1
R06343,195.29,0.5938,709.41,Local Road,11,361.3,0.903,1.51,0.8734,0.9065,1
R06344,247.36,0.57,257.79,Local Road,4,550.9,0.2081,1.36,0.8636,0.8532,1
R06345,125.31,0.4667,677.41,Main Road,1,1970,0.259,2.03,0.6526,0.3155,0
R06346,21.93,0.1941,274.33,Local Road,7,97,0.1804,4.15,0.7679,0.3338,1
R06347,82.1,0.3694,715.86,Main Road,2,1270.9,0.1961,0.36,0.8133,0.1749,0
R06348,294,0.6,639.45,Rural Road,1,1227.1,0.9079,4.39,0.9059,0.8787,1
R06349,178.88,0.39,786.96,Rural Road,3,1938.7,0.9311,9.17,0.887,0.7741,0
R06350,212.92,0.3093,662.68,Highway,1,1582.7,0.0519,5.1,0.5627,0.1286,0
R06351,2.21,0.4017,321.58,Local Road,4,1933.3,0.5936,0.79,0.8428,0.6267,1
R06352,155.46,0.653,92.51,Local Road,6,1461.5,0.5642,0.37,0.6667,0.972,1
R06353,11.26,0.2542,700.05,Main Road,2,1135.3,0.3905,2.41,0.7639,0.2133,0
R06354,170.77,0.4667,459.1,Rural Road,1,53.8,0.6317,11.01,0.893,0.2933,0
R06355,276.23,0.5315,687.22,Rural Road,3,1720.3,0.9474,6.03,0.6209,0.94,1
R06356,290.53,0.5072,312.77,Rural Road,8,358.4,0.1703,2.95,0.7316,0.6251,0
R06357,162.17,0.6123,28.01,Local Road,12,1634.8,0.1204,0.59,0.7737,0.9595,1
R06358,137.46,0.3944,46.67,Highway,5,55.3,0.0334,4.43,0.9587,0.4003,0
R06359,283.51,0.5718,538.05,Local Road,1,838.4,0.3638,5.92,0.477,0.6298,1
R06360,202.08,0.5125,96,Rural Road,2,644.1,0.3376,9.62,0.6464,0.5773,1
R06361,19.47,0.1671,597.64,Main Road,20,1756.1,0.4308,3.36,0.8268,0.7507,1
R06362,139.72,0.3766,338.46,Rural Road,5,1394.3,0.5033,2.58,0.6655,0.6487,1
R06363,72.07,0.4279,452.67,Local Road,4,1431.7,0.7578,3.43,0.5658,0.8258,1
R06364,140.94,0.3117,641.96,Main Road,0,556.8,0.3921,10.09,0.7322,0.1517,0
R06365,136.64,0.4999,206.19,Rural Road,1,883.1,0.3306,3.51,0.4857,0.7512,1
R06366,174.64,0.6871,333.26,Local Road,14,545.9,0.8269,1.09,0.8253,0.9562,1
R06367,107.03,0.4035,585,Main Road,4,1079.3,0.8498,3.59,0.9794,0.7231,0
R06368,49.28,0.1946,735.15,Main Road,1,519.5,0.2328,7.46,0.7347,0.0777,0
R06369,151.12,0.4,235.79,Main Road,7,333.1,0.3147,2.98,0.666,0.5556,0
R06370,249.06,0.7473,500.06,Bridge,3,1571.5,0.8251,2.49,0.8025,0.9843,1
R06371,199.2,0.3326,761.22,Rural Road,4,1516.9,0.0794,4.68,0.8785,0.289,1
R06372,101.51,0.2824,520.84,Rural Road,6,1432.1,0.3258,3.84,0.7382,0.3745,0
R06373,280.66,0.6678,714.77,Local Road,10,151.8,0.4484,0.25,0.5118,0.9446,1
R06374,273.66,0.442,752.09,Rural Road,1,168.3,0.1871,4.57,0.3883,0.5339,1
R06375,62.8,0.2771,743.83,Rural Road,5,1168.6,0.1799,1.88,0.7216,0.3628,1
R06376,11.83,0.1407,607.99,Local Road,20,1888.7,0.4249,9.95,0.7305,0.8852,1
R06377,222.39,0.4195,443.92,Rural Road,8,1682.5,0.7545,12.42,0.5488,0.9275,1
R06378,248.28,0.731,81.92,Highway,7,1029.8,0.8402,2.13,0.57,0.9945,1
R06379,290.36,0.699,182.05,Rural Road,1,433.6,0.9792,12.19,0.5951,0.9909,1
R06380,266.95,0.5839,208.33,Main Road,2,1058.9,0.074,1.35,0.6246,0.6947,1
R06381,180.16,0.4803,31.44,Rural Road,9,159.5,0.2167,4.07,0.7978,0.7383,0
R06382,159.02,0.7947,86.03,Main Road,3,1240.8,0.7566,0.32,0.6941,0.9568,1
R06383,8.35,0.4987,239.33,Local Road,18,295.6,0.5406,0.6,0.8455,0.6342,0
R06384,74,0.2498,77.14,Rural Road,0,1433.3,0.3277,7.05,0.391,0.2395,0
R06385,137.88,0.3572,139.78,Highway,2,549.2,0.2056,7.9,0.8883,0.2097,0
R06386,188.55,0.6052,48.26,Bridge,5,1324,0.2805,2.71,0.8422,0.7976,1
R06387,167.18,0.573,336.14,Rural Road,2,415.1,0.4293,1.5,0.6626,0.6676,1
R06388,222.79,0.5276,657.96,Main Road,7,1062.9,0.1772,2.15,0.5632,0.5974,1
R06389,83.93,0.4029,650.73,Rural Road,2,432.1,0.9642,7.18,0.539,0.6762,1
R06390,169.49,0.4004,724.39,Highway,6,646.8,0.1076,0.88,0.6882,0.2757,1
R06391,26.44,0.5585,597.75,Highway,7,715.2,0.9856,1.27,0.506,0.7826,1
R06392,124.1,0.5384,199.33,Main Road,2,470.8,0.8419,5.44,0.7979,0.6072,1
R06393,225.05,0.3908,563.4,Highway,2,1849.6,0.4232,9.63,0.846,0.5891,1
R06394,208.02,0.7604,604.29,Rural Road,0,50.7,0.7398,0.39,0.6503,0.8701,1
R06395,297.19,0.5891,436.77,Local Road,1,622.7,0.6715,5.75,0.6816,0.8314,0
R06396,83.37,0.2526,646.57,Local Road,0,1419.8,0.2133,3.68,0.4739,0.2535,1
R06397,149.46,0.5473,61.66,Rural Road,5,302.3,0.3391,0.97,0.9488,0.5014,0
R06398,98.86,0.2847,477.85,Main Road,0,1468.4,0.5131,4.98,0.5418,0.4182,1
R06399,132.18,0.4326,386.52,Bridge,2,195.4,0.6378,4.61,0.5657,0.6203,1
R06400,257.09,0.6751,645.14,Local Road,0,1439,0.5429,0.59,0.3323,0.8985,1
R06401,205.26,0.5165,106.73,Highway,2,485.2,0.473,2.49,0.5812,0.6564,1
R06402,264.73,0.5853,174.04,Local Road,5,242.8,0.4432,5.02,0.8875,0.7548,1
R06403,61.05,0.493,449.16,Rural Road,9,1481.7,0.4983,0.79,0.7604,0.7021,1
R06404,262.01,0.5621,758.03,Rural Road,3,1100.4,0.4344,2.22,0.6426,0.6133,1
R06405,17.93,0.5306,71.14,Rural Road,4,844.4,0.5413,0.5,0.9003,0.6989,1
R06406,266.58,0.746,595.98,Bridge,14,852.1,0.888,1.33,0.6732,0.9873,1
R06407,98.72,0.5884,168.29,Local Road,6,1271.2,0.6328,0.91,0.4946,0.8999,1
R06408,94.38,0.5336,88.83,Local Road,5,1627.1,0.7226,2.51,0.7466,0.9022,1
R06409,153.63,0.6612,318.84,Main Road,15,1650.1,0.5975,0.58,0.9457,0.9269,1
R06410,282.21,0.6609,468.53,Local Road,3,555.2,0.643,1.74,0.6131,0.8832,1
R06411,14.33,0.3016,662.48,Rural Road,1,1856.5,0.5783,1.18,0.7665,0.4076,1
R06412,105.67,0.2553,509.58,Highway,2,1093.3,0.0269,4.85,0.8715,0.1416,0
R06413,256.97,0.6605,395.88,Main Road,8,629.3,0.9996,4.26,0.7968,0.9516,1
R06414,118.82,0.5303,232.11,Bridge,2,1492.3,0.0336,0.4,0.842,0.3925,0
R06415,59.75,0.3163,237.58,Rural Road,8,761.5,0.3951,10.79,0.6031,0.4905,1
R06416,127.44,0.2609,617.61,Main Road,6,1603.8,0.1051,4.83,0.7406,0.1894,0
R06417,115.67,0.3685,95.68,Rural Road,2,1799.7,0.0969,3.4,0.2202,0.5853,1
R06418,274.62,0.7675,121.45,Main Road,11,1989.3,0.7935,2.32,0.3464,0.9975,1
R06419,228.58,0.5788,577.19,Local Road,2,1872.8,0.4259,0.74,0.5096,0.7047,1
R06420,151.53,0.359,769.03,Main Road,11,1214.3,0.8011,11.5,0.5862,0.8156,1
R06421,296.51,0.8128,100.59,Local Road,14,1343.8,0.2728,0.08,0.7675,0.9842,1
R06422,139.58,0.3894,489.49,Local Road,2,71.6,0.2565,4.18,0.4599,0.2931,0
R06423,17.47,0.2852,195.15,Rural Road,14,1150.8,0.2512,2.53,0.9476,0.6793,1
R06424,78.68,0.3808,25.48,Rural Road,1,836,0.6161,8.2,0.6178,0.5879,1
R06425,130.82,0.508,666.65,Rural Road,3,474.3,0.815,1.73,0.8397,0.6833,0
R06426,47.07,0.2196,409.34,Main Road,2,1057.9,0.4523,2.61,0.8513,0.1062,0
R06427,284.27,0.5813,23.99,Rural Road,10,1604.6,0.3792,4.8,0.8839,0.9747,1
R06428,230.05,0.7657,716.89,Highway,9,1929.1,0.9736,0.22,0.6702,0.9809,1
R06429,80.49,0.4148,430.87,Rural Road,10,975.6,0.1168,0.25,0.7596,0.3747,1
R06430,177.24,0.563,590.97,Local Road,7,1028.2,0.4866,0.88,0.8621,0.6747,0
R06431,216.43,0.7307,341.69,Local Road,5,1965,0.4085,0.6,0.8397,0.9178,1
R06432,282.38,0.8044,151.98,Rural Road,3,1135.1,0.0981,0.07,0.7413,0.8887,1
R06433,264.49,0.4405,375.13,Highway,7,446.5,0.2682,3.46,0.5975,0.6447,0
R06434,154.56,0.3696,233.7,Rural Road,1,608.3,0.0284,5.61,0.6182,0.259,0
R06435,232.4,0.5887,240.9,Main Road,1,678.1,0.877,11.07,0.7306,0.9292,1
R06436,168.64,0.519,516.88,Rural Road,5,401.1,0.6078,2.08,0.6157,0.9046,1
R06437,165.81,0.5746,79.79,Main Road,6,1122.1,0.815,1.2,0.4739,0.9677,1
R06438,34.42,0.3015,320.63,Rural Road,4,1979.5,0.5216,7.03,0.5092,0.3703,0
R06439,37.84,0.2453,439.58,Rural Road,4,1338.9,0.5995,6.56,0.5367,0.4461,1
R06440,158.86,0.4774,569.34,Rural Road,2,211.4,0.7009,3.48,0.7035,0.7917,1
R06441,80.66,0.4908,508.15,Main Road,4,867,0.908,1.17,0.9706,0.7423,1
R06442,6.31,0.0235,709.57,Rural Road,9,451.9,0.0918,8.42,0.7693,0.1784,0
R06443,216.85,0.605,793.95,Rural Road,3,1671.7,0.3309,0.74,0.9035,0.4495,0
R06444,9.75,0.5302,750.25,Bridge,2,1368.1,0.709,0.21,0.7822,0.5795,1
R06445,178.58,0.4671,612.5,Main Road,5,264.7,0.9584,5.62,0.7308,0.7901,1
R06446,161.76,0.6261,550.38,Bridge,2,1494.9,0.9808,2.95,0.6637,0.9071,1
R06447,290.64,0.7979,33.17,Rural Road,11,1079.7,0.6381,1.04,0.7769,0.9903,1
R06448,145.26,0.3337,429.13,Main Road,0,1091,0.1936,3.94,0.5814,0.2679,0
R06449,19.08,0.0772,532.65,Local Road,1,14.9,0.1192,5.14,0.7139,0.052,0
R06450,165.51,0.5319,333.29,Rural Road,8,1707.9,0.946,6.56,0.8704,0.8998,1
